BioSample,BioProject,Run Accession,Study
SAMN16495262,PRJNA670413,SRR12858179,timmermans2021
SAMN16495265,PRJNA670413,SRR12858176,timmermans2021
SAMN16495266,PRJNA670413,SRR12858175,timmermans2021
SAMN16495267,PRJNA670413,SRR12858173,timmermans2021
SAMN16495268,PRJNA670413,SRR12858172,timmermans2021
SAMN16495272,PRJNA670413,SRR12858168,timmermans2021
SAMN16495273,PRJNA670413,SRR12858167,timmermans2021
SAMN16495274,PRJNA670413,SRR12858166,timmermans2021
SAMN16495275,PRJNA670413,SRR12858165,timmermans2021
SAMN16495276,PRJNA670413,SRR12858164,timmermans2021
SAMN16495277,PRJNA670413,SRR12858162,timmermans2021
SAMN16495278,PRJNA670413,SRR12858161,timmermans2021
SAMN16495283,PRJNA670413,SRR12858156,timmermans2021
SAMN16495285,PRJNA670413,SRR12858154,timmermans2021
SAMN16495286,PRJNA670413,SRR12858153,timmermans2021
SAMN16495287,PRJNA670413,SRR12858151,timmermans2021
SAMN16495291,PRJNA670413,SRR12858147,timmermans2021
SAMN16495293,PRJNA670413,SRR12858145,timmermans2021
SAMN16495297,PRJNA670413,SRR12858140,timmermans2021
SAMN16495300,PRJNA670413,SRR12858137,timmermans2021
SAMN16495302,PRJNA670413,SRR12858135,timmermans2021
SAMN16495303,PRJNA670413,SRR12858134,timmermans2021
SAMN16495305,PRJNA670413,SRR12858132,timmermans2021
SAMN16495308,PRJNA670413,SRR12858131,timmermans2021
SAMN16495310,PRJNA670413,SRR12858128,timmermans2021
SAMN16495314,PRJNA670413,SRR12858124,timmermans2021
SAMN16495315,PRJNA670413,SRR12858123,timmermans2021
SAMN16495317,PRJNA670413,SRR12858120,timmermans2021
SAMN16495320,PRJNA670413,SRR12858117,timmermans2021
SAMN16495323,PRJNA670413,SRR12858114,timmermans2021
SAMN16495324,PRJNA670413,SRR12858113,timmermans2021
SAMN16495325,PRJNA670413,SRR12858112,timmermans2021
SAMN16495326,PRJNA670413,SRR12858111,timmermans2021
