accession	sample_id	biosample	clade	study_id	gentamicin_RIS	gentamicin_DST_method	vancomycin_MIC	vancomycin_RIS	vancomycin_DST_method	ampicillin_MIC	ampicillin_RIS	ampicillin_DST_method	erythromycin_MIC	erythromycin_RIS	erythromycin_DST_method	linezolid_MIC	linezolid_RIS	linezolid_DST_method	tigecycline_MIC	tigecycline_RIS	tigecycline_DST_method	teicoplanin_MIC	teicoplanin_RIS	teicoplanin_DST_method	streptomycin_MIC	streptomycin_RIS	streptomycin_DST_method	ciprofloxacin_MIC	ciprofloxacin_RIS	ciprofloxacin_DST_method	tetracycline_MIC	tetracycline_RIS	tetracycline_DST_method	penicillin_MIC	penicillin_RIS	penicillin_DST_method	levofloxacin_MIC	levofloxacin_RIS	levofloxacin_DST_method	quinupristin-dalfopristin_MIC	quinupristin-dalfopristin_RIS	quinupristin-dalfopristin_DST_method	chloramphenicol_MIC	chloramphenicol_RIS	chloramphenicol_DST_method	trimethoprim_MIC	trimethoprim_RIS	trimethoprim_DST_method	kanamycin_RIS	kanamycin_DST_method	nitrofurantoin_MIC	nitrofurantoin_RIS	nitrofurantoin_DST_method	doxycycline_MIC	doxycycline_RIS	doxycycline_DST_method	rifampin_MIC	rifampin_RIS	rifampin_DST_method	clindamycin_MIC	clindamycin_RIS	clindamycin_DST_method	oxacillin_MIC	oxacillin_RIS	oxacillin_DST_method	amikacin_MIC	amikacin_RIS	amikacin_DST_method	trimethoprim-sulfamethoxazole_MIC	trimethoprim-sulfamethoxazole_RIS	trimethoprim-sulfamethoxazole_DST_method	florfenicol_MIC	florfenicol_RIS	florfenicol_DST_method	tedizolid_MIC	tedizolid_RIS	tedizolid_DST_method	daptomycin_MIC	daptomycin_RIS	daptomycin_DST_method	lincomycin_MIC	lincomycin_RIS	lincomycin_DST_method	tylosin_MIC	tylosin_RIS	tylosin_DST_method	moxifloxacin_MIC	moxifloxacin_RIS	moxifloxacin_DST_method	cefazolin_MIC	cefazolin_RIS	cefazolin_DST_method	cefuroxime_MIC	cefuroxime_DST_method	fosfomycin_MIC	fosfomycin_DST_method	ceftazidime_MIC	ceftazidime_RIS	ceftazidime_DST_method	ofloxacin_MIC	ofloxacin_RIS	ofloxacin_DST_method	azithromycin_RIS	azithromycin_DST_method	amoxicillin-clavulanic acid_MIC	amoxicillin-clavulanic acid_DST_method	eravacycline_MIC	eravacycline_RIS	eravacycline_DST_method	tiamulin_MIC	tiamulin_RIS	tiamulin_DST_method	sulfadimidine_RIS	sulfadimidine_DST_method	fusidic acid_MIC	fusidic acid_RIS	fusidic acid_DST_method	imipenem_MIC	imipenem_RIS	imipenem_DST_method	norfloxacin_MIC	norfloxacin_RIS	norfloxacin_DST_method	piperacillin-tazobactam_MIC	piperacillin-tazobactam_RIS	piperacillin-tazobactam_DST_method	meropenem_MIC	meropenem_RIS	meropenem_DST_method	avilamycin_MIC	avilamycin_DST_method	bacitracin_MIC	bacitracin_DST_method	ceftriaxone_MIC	ceftriaxone_DST_method	minocycline_MIC	minocycline_DST_method	amoxicillin_RIS	cefoxitin_RIS	tobramycin_RIS	lincosamide_MIC	lincosamide_RIS	lincosamide_DST_method
SAMD00211643	ID_2073387	SAMD00211643	Homo sapiens	harada2020	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMD00211644	ID_2571598	SAMD00211644	Homo sapiens	harada2020	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMD00211645	ID_8199585	SAMD00211645	Homo sapiens	harada2020	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMD00211646	ID_1364779	SAMD00211646	Homo sapiens	harada2020	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMD00211647	ID_5005885	SAMD00211647	Homo sapiens	harada2020	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMD00211648	ID_7266225	SAMD00211648	Homo sapiens	harada2020	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMD00211649	ID_6121372	SAMD00211649	Homo sapiens	harada2020	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMD00211650	ID_6805322	SAMD00211650	Homo sapiens	harada2020	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMD00211651	ID_4014376	SAMD00211651	Homo sapiens	harada2020	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMD00211652	ID_2167269	SAMD00211652	Homo sapiens	harada2020	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMD00211653	ID_8517135	SAMD00211653	Homo sapiens	harada2020	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMEA1965472	ID_8914990	SAMEA1965472	Homo sapiens	raven2016a	NA	agar dilution method	NA	NA	agar dilution method	NA	NA	agar dilution method	NA	NA	agar dilution method	NA	NA	agar dilution method	NA	NA	NA	NA	NA	agar dilution method	NA	NA	NA	NA	NA	agar dilution method	NA	NA	NA	NA	NA	agar dilution method	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	agar dilution method	NA	NA	NA	NA	NA	agar dilution method	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMEA1967838	ID_4344142	SAMEA1967838	Homo sapiens	raven2016a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
